Reaction number,Reaction name,Subsystem,Gene name,lb,ub
76,G6PPer,Gluconeogenesis,Glucose 6-phosphatase,0,0
77,PGI,Glycolysis/gluconeogenesis,glucose-6-phosphate isomerase,-1000,1000
78,PFK,Glycolysis,phosphofructokinase,0,1000
79,FBP,Gluconeogenesis,fructose-bisphosphatase,0,0
80,FBA,Glycolysis/gluconeogenesis,fructose-bisphosphate aldolase,-1000,1000
81,TPI,Glycolysis/gluconeogenesis,triose-phosphate isomerase,-1000,1000
82,GAPD,Glycolysis/gluconeogenesis,glyceraldehyde-3-phosphate dehydrogenase,-1000,1000
83,PGK,Glycolysis/gluconeogenesis,Phosphoglycerate kinase 1,-1000,1000
84,PGM,Glycolysis/gluconeogenesis,Phosphoglycerate mutase 1,-1000,1000
85,ENO,Glycolysis/gluconeogenesis,enolase,-1000,1000
86,PYK,Glycolysis/gluconeogenesis,pyruvate kinase,0,1000
87,r0122,Glycolysis,pyruvate kinase,0,1000
88,PEPCK,Gluconeogenesis,phosphoenolpyruvate carboxykinase,0,1000
89,LDH_L,Glycolysis/gluconeogenesis,L-lactate dehydrogenase,-1000,1000
90,G6PDH2r,Pentose phosphate pathway,glucose 6-phosphate dehydrogenase,0,1000
91,PGL,Pentose phosphate pathway,6-phosphogluconolactonase,0,1000
92,GND,Pentose phosphate pathway,phosphogluconate dehydrogenase,-1000,1000
93,RPI,Pentose phosphate pathway,ribose-5-phosphate isomerase,-1000,1000
94,RPE,Pentose phosphate pathway,ribulose 5-phosphate 3-epimerase,-1000,1000
95,TKT1,Pentose phosphate pathway,transketolase,-1000,1000
96,TALA,Pentose phosphate pathway,transaldolase,-1000,1000
97,TKT2,Pentose phosphate pathway,transketolase,-1000,1000
98,PDHm,TCA cycle,pyruvate dehydrogenase,0,1000
99,CSm,TCA cycle,citrate synthase,0,1000
100,ACONTm,TCA cycle,Aconitate hydratase,-1000,1000
101,ICDHxm,TCA cycle,Isocitrate dehydrogenase (NAD+),0,1000
102,ICDHyrm,TCA cycle,"Isocitrate dehydrogenase (NADP+), mitochondrial",-1000,1000
103,AKGDm,TCA cycle,2-oxoglutarate dehydrogenase complex,0,1000
104,SUCOAS1m,TCA cycle,Succinate--CoA ligase (GDP-forming),-1000,1000
105,SUCOASm,TCA cycle,Succinate--CoA ligase (ADP-forming),-1000,1000
106,FUMm,TCA cycle,fumarate hydratase,-1000,1000
107,MDHm,TCA cycle,"malate dehydrogenase 2, NAD (mitochondrial)",-1000,1000
108,CI_MitoMap,Electron transport chain CI,NADH dehydrogenase,-1000,1000
109,CII_MitoMap,Electron transport chain CII,succinate dehydrogenase,-1000,1000
110,CIII_MitoMap,Electron transport chain CIII,cytochrome c reductase,-1000,1000
111,CIV_MitoMap,Electron transport chain CIV,cytochrome c oxidase,0,1000
112,CV_MitoMap,Electron transport chain CV,ATP synthase,-1000,1000
113,PEPCKm,TCA cycle periphery,Phosphoenolpyruvate carboxykinase (GTP),0,1000
114,PCm,TCA cycle periphery,"Pyruvate carboxylase, mitochondrial",0,1000
115,ME2m,TCA cycle periphery,Malic Enzyme 3,0,1000
116,ME1m,TCA cycle periphery,Malic Enzyme 2,0,1000
117,r0081,TCA cycle periphery,glutamic pyruvate transaminase (alanine aminotransferase) 2,-1000,1000
118,ACITLm_MitoCore,TCA cycle periphery,ATP citrate lyase,0,1000
119,NDPK1m,TCA cycle periphery,nucleoside diphosphate kinase 4,-1000,1000
120,NNT_MitoCore,TCA cycle periphery,nicotinamide nucleotide transhydrogenase,0,1000
121,ADK1m,TCA cycle periphery,adenylate kinase 2 or 3,-1000,1000
122,ME2,Cytosolic misc,Malic Enzyme 1,0,1000
123,ALATA_L,Cytosolic misc,glutamic-pyruvate transaminase (alanine aminotransferase),-1000,1000
124,NDPK1,Cytosolic misc,nucleoside diphosphate kinase (mulitple),-1000,1000
125,FUM,Cytosolic misc,fumarate hydratase,-1000,1000
126,ADK1,Cytosolic misc,adenylate kinase 1,-1000,1000
127,ICDHy,Reductive carboxylation,Isocitrate dehydrogenase (NADP+),-0.1,1000
128,ACONT,Reductive carboxylation,"aconitase 1, soluble",-1000,1000
129,ACITL,Reductive carboxylation / Acetyl-CoA production for biosynthesis,ATP citrate lyase,0,1000
130,ASPTA,Malate aspartate shuttle,"glutamic-oxaloacetic transaminase 1, soluble",-1000,1000
131,MDH,Malate aspartate shuttle,"malate dehydrogenase 1, NAD (soluble)",-1000,1000
132,AKGMALtm,Malate aspartate shuttle,solute carrier family 25 (mitochondrial carrier; oxoglutarate carrier),-1000,1000
133,ASPGLUmB_MitoCore,Malate aspartate shuttle,"solute carrier family 25 (aspartate/glutamate carrier), member 12 or 13",0,1000
134,ASPTAm,Malate aspartate shuttle,"glutamic-oxaloacetic transaminase 2, mitochondrial",-1000,1000
135,G3PD1,Glycerol phosphate shuttle,glycerol-3-phosphate dehydrogenase 1,-1000,1000
136,r0205,Glycerol phosphate shuttle,glycerol-3-phosphate dehydrogenase,0,1000
137,FACOAL160i,Carnitine shuttle,acyl-CoA synthetase long-chain family (various),0,1000
138,C160CPT1,Carnitine shuttle,carnitine palmitoyltransferase 1B (muscle),-1000,1000
139,PPA,Carnitine shuttle,pyrophosphatase 1,0,1000
140,r2435,Carnitine shuttle,carnitine carrier,-1000,1000
141,C160CPT2,Carnitine shuttle,carnitine palmitoyltransferase 2,-1000,1000
142,PPAm,Carnitine shuttle,pyrophosphatase 2,-1000,1000
143,ACOT2_MitoCore,Fatty acid elongation in mitochondria,acyl-CoA thioesterase 2,0,1000
144,ACADLC16_MitoCore,FA metabolism,long-chain acyl-CoA dehydrogenase,0,1000
145,MECR16C_MitoCore,Fatty acid elongation in mitochondria,mitochondrial trans-2-enoyl-CoA reductase,0,1000
146,MTPC16_MitoCore,FA metabolism,Mitochondrial trifunctional protein,-1000,1000
147,ACADLC14_MitoCore,FA metabolism,long-chain acyl-CoA dehydrogenase,0,1000
148,MECR14C_MitoCore,Fatty acid elongation in mitochondria,mitochondrial trans-2-enoyl-CoA reductase,0,1000
149,MTPC14_MitoCore,FA metabolism,Mitochondrial trifunctional protein,-1000,1000
150,r1447,FA metabolism,medium acyl-CoA dehydrogenase,0,1000
151,r0638,Fatty acid elongation in mitochondria,mitochondrial trans-2-enoyl-CoA reductase,-1000,0
152,r0660,FA metabolism,enoyl CoA hydratase,-1000,1000
153,r0722,FA metabolism,3-hydroxyacyl-CoA dehydrogenase,-1000,1000
154,r0724,FA metabolism,acetyl-CoA acyltransferase 2,-1000,1000
155,r1451,FA metabolism,medium acyl-CoA dehydrogenase,0,1000
156,r0735,Fatty acid elongation in mitochondria,mitochondrial trans-2-enoyl-CoA reductase,-1000,0
157,r0728,FA metabolism,enoyl CoA hydratase,-1000,1000
158,r0726,FA metabolism,3-hydroxyacyl-CoA dehydrogenase,-1000,1000
159,r0634,FA metabolism,acetyl-CoA acyltransferase 2,-1000,1000
160,r1448,FA metabolism,medium acyl-CoA dehydrogenase,0,1000
161,r0633,Fatty acid elongation in mitochondria,mitochondrial trans-2-enoyl-CoA reductase,-1000,0
162,r0731,FA metabolism,enoyl CoA hydratase,-1000,1000
163,r0730,FA metabolism,3-hydroxyacyl-CoA dehydrogenase,-1000,1000
164,r0732,FA metabolism,acetyl-CoA acyltransferase 2,-1000,1000
165,r1450,FA metabolism,medium acyl-CoA dehydrogenase,0,1000
166,r0791,Fatty acid elongation in mitochondria,mitochondrial trans-2-enoyl-CoA reductase,0,1000
167,r0734,FA metabolism,enoyl CoA hydratase,-1000,1000
168,r0733,FA metabolism,3-hydroxyacyl-CoA dehydrogenase,-1000,1000
169,r0287,FA metabolism,acetyl-CoA acyltransferase 2,-1000,1000
170,r1446,FA metabolism,short acyl-CoA dehydrogenase,0,1000
171,ECOAH1m,FA metabolism,enoyl CoA hydratase,-1000,1000
172,HACD1m,FA metabolism,3-hydroxyacyl-CoA dehydrogenase,-1000,1000
173,ACACT1rm,FA and ketone body metabolism / Ketogenesis,acetyl-CoA acetyltransferase 1,-1000,1000
174,ACCOAC,FA synthesis - cytosolic,acetyl-CoA carboxylase,0,1000
175,MCOATA,FA synthesis - cytosolic,fatty acid synthase,-1000,1000
176,ACOATA,FA synthesis - cytosolic,fatty acid synthase,0,1000
177,r0678,FA synthesis - cytosolic,fatty acid synthase,0,1000
178,r0691,FA synthesis - cytosolic,fatty acid synthase,-1000,1000
179,r0681,FA synthesis - cytosolic,fatty acid synthase,-1000,1000
180,r0682,FA synthesis - cytosolic,fatty acid synthase,-1000,1000
181,r0760,FA synthesis - cytosolic,fatty acid synthase,0,1000
182,r0761,FA synthesis - cytosolic,fatty acid synthase,-1000,1000
183,r0762,FA synthesis - cytosolic,fatty acid synthase,-1000,1000
184,r0763,FA synthesis - cytosolic,fatty acid synthase,-1000,1000
185,r0764,FA synthesis - cytosolic,fatty acid synthase,0,1000
186,r0694,FA synthesis - cytosolic,fatty acid synthase,-1000,1000
187,r0695,FA synthesis - cytosolic,fatty acid synthase,-1000,1000
188,r0765,FA synthesis - cytosolic,fatty acid synthase,-1000,1000
189,r0766,FA synthesis - cytosolic,fatty acid synthase,0,1000
190,r0692,FA synthesis - cytosolic,fatty acid synthase,-1000,1000
191,r0693,FA synthesis - cytosolic,fatty acid synthase,-1000,1000
192,r0767,FA synthesis - cytosolic,fatty acid synthase,-1000,1000
193,r0768,FA synthesis - cytosolic,fatty acid synthase,0,1000
194,r0769,FA synthesis - cytosolic,fatty acid synthase,-1000,1000
195,r0770,FA synthesis - cytosolic,fatty acid synthase,-1000,1000
196,r0712,FA synthesis - cytosolic,fatty acid synthase,-1000,1000
197,r0713,FA synthesis - cytosolic,fatty acid synthase,0,1000
198,r0701,FA synthesis - cytosolic,fatty acid synthase,-1000,1000
199,r0702,FA synthesis - cytosolic,fatty acid synthase,-1000,1000
200,r0771,FA synthesis - cytosolic,fatty acid synthase,-1000,1000
201,r0772,FA synthesis - cytosolic,fatty acid synthase,0,1000
202,r0696,FA synthesis - cytosolic,fatty acid synthase,-1000,1000
203,r0697,FA synthesis - cytosolic,fatty acid synthase,-1000,1000
204,r0773,FA synthesis - cytosolic,fatty acid synthase,-1000,1000
205,FA160ACPH,FA synthesis - cytosolic,fatty acid synthase,0,1000
206,FACOAL40im,Butanoate metabolism,acyl-CoA synthetase medium-chain family member 3,0,1000
207,BDHm,Ketone bodies - degradation,"3-hydroxybutyrate dehydrogenase, type 1",-1000,1000
208,OCOAT1m,Ketone bodies - degradation,3-oxoacid CoA transferase 1,-1000,1000
209,HMGCOASim,Ketogenesis,3-hydroxy-3-methylglutaryl-CoA synthase 2 (mitochondrial),0,0
210,HMGLm,Ketogenesis / Leucine degradation,3-hydroxymethyl-3-methylglutaryl-CoA lyase,0,1000
211,LEUTAm,Leucine degradation,OIVD3m,-1000,1000
212,OIVD1m,Leucine degradation,branched-chain ?-ketoacid dehydrogenase complex,0,1000
213,r0655,Leucine degradation,isovaleryl-CoA dehydrogenase,0,1000
214,MCCCrm,Leucine degradation,methylcrotonoyl-CoA carboxylase,0,1000
215,MGCHrm,Leucine degradation,Methylglutaconyl-CoA hydratase,-1000,1000
216,ILETAm,Isoleucine degradation,"branched chain amino-acid transaminase 2, mitochondrial",-1000,1000
217,OIVD3m,Isoleucine degradation,branched-chain ?-ketoacid dehydrogenase complex,0,1000
218,r0603,Isoleucine degradation,acyl-CoA dehydrogenase,0,1000
219,ECOAH9m,Isoleucine degradation,"enoyl CoA hydratase, short chain",0,1000
220,HACD9m,Isoleucine degradation,3-hydroxyacyl-CoA dehydrogenase,-1000,1000
221,ACACT10m,Isoleucine degradation,acetyl-CoA acyltransferase 2,0,1000
222,VALTAm,Valine degradation,"branched chain amino-acid transaminase 2, mitochondrial",-1000,1000
223,OIVD2m,Valine degradation,branched-chain ?-ketoacid dehydrogenase complex,0,1000
224,r0560,Valine degradation,acyl-CoA dehydrogenase,0,1000
225,ECOAH12m,Valine degradation,"enoyl CoA hydratase, short chain",-1000,1000
226,3HBCOAHLm,Valine degradation,3-hydroxyisobutyryl-CoA hydrolase,-1000,1000
227,HIBDm,Valine degradation,3-hydroxyisobutyrate dehydrogenase,-1000,1000
228,ACCOALm,Propanoate metabolism,acyl-CoA synthetase short-chain family member 3,0,1000
229,MMSAD1m,Propanoate metabolism,"aldehyde dehydrogenase 6 family, member A1",0,1000
230,PPCOACm,Propanoate metabolism,propionyl CoA carboxylase,0,1000
231,MMEm,Propanoate metabolism,methylmalonyl CoA epimerase,-1000,1000
232,MMMm,Propanoate metabolism,methylmalonyl CoA mutase,-1000,1000
233,MMCDm,Propanoate synthesis,ethylmalonyl-CoA decarboxylase 1,0,1000
234,RE2649M,Propanoate synthesis,acyl-CoA thioesterase 2,-1000,1000
235,THRD_L,Threonine degradation,serine dehydratase,0,1000
236,r1155,Threonine degradation,,0,1000
237,r1154,Threonine and Methionine degradation,branched-chain ?-ketoacid dehydrogenase complex,0,1000
238,2HBO,Threonine and Methionine degradation,L-lactate dehydrogenase,-1000,1000
239,METAT,Methionine degradation,"methionine adenosyltransferase II, alpha",0,1000
240,METAT2_MitoCore,Methionine degradation,Multiple methyltransferases,0,1000
241,AHC,Methionine degradation,adenosylhomocysteinase,0,1000
242,ADNK1,Methionine degradation,adenosine kinase,-1000,1000
243,CYSTS,Methionine and Serine degradation,cystathionine-beta-synthase,-1000,1000
244,CYSTGL,Methionine and Serine degradation,cystathionine gamma-lyase,0,1000
245,CYSO,Cysteine degradation I,cysteine dioxygenase type 1,0,1000
246,3SALATAi,Cysteine degradation I,"glutamic-oxaloacetic transaminase 1, soluble",-1000,1000
247,3SPYRSP,Cysteine degradation I,Non-Enzymatic,-1000,1000
248,CYSTA,Cysteine degradation II,"glutamic-oxaloacetic transaminase 1, soluble",-1000,1000
249,CYSTAm,Cysteine degradation II,"glutamic-oxaloacetic transaminase 2, mitochondrial",-1000,1000
250,MCPST,Cysteine degradation II,mercaptopyruvate sulfurtransferase,0,1000
251,MCPSTm_MitoCore,Cysteine degradation II,mercaptopyruvate sulfurtransferase,0,1000
252,r0595m_MitoCore,Cysteine degradation II,mercaptopyruvate sulfurtransferase,0,1000
253,r0595B_MitoCore,Cysteine degradation II,mercaptopyruvate sulfurtransferase,0,1000
254,MCLOR,Cysteine degradation II,L-lactate dehydrogenase,-1000,1000
255,r0193,Cysteine degradation III,cystathionine gamma-lyase,0,1000
256,TRPO2,Tryptophan Metabolism,"tryptophan 2,3-dioxygenase",0,1000
257,FKYNH,Tryptophan Metabolism,Kynurenine formamidase,0,1000
258,KYN3OX,Tryptophan Metabolism,Kynurenine 3-monooxygenase,0,1000
259,HKYNH,Tryptophan Metabolism,kynureninase,-1000,1000
260,3HAO,Tryptophan Metabolism,"3-hydroxyanthranilate 3,4-dioxygenase",0,1000
261,PCLAD,Tryptophan Metabolism,aminocarboxymuconate semialdehyde decarboxylase,0,1000
262,r0645,Tryptophan Metabolism,Unknown,0,1000
263,AMCOXO,Tryptophan Metabolism,Unknown,0,1000
264,AMCOXO2_MitoCore,Tryptophan Metabolism,Unknown,0,1000
265,2OXOADPTmB_MitoCore,Tryptophan Metabolism,2-oxoadipate shuttle (cytosol/mitochondria),0,1000
266,2OXOADPTmC_MitoCore,Tryptophan Metabolism,2-oxoadipate shuttle (cytosol/mitochondria),0,1000
267,2OXOADOXm,Tryptophan / Lysine Metabolism,2-oxoadipate dehydrogenase complex,0,1000
268,r0541,Tryptophan / Lysine Metabolism,"Glutaryl-CoA dehydrogenase, mitochondrial",0,1000
269,SACCD3m,Lysine degradation (saccharopine pathway),aminoadipate-semialdehyde synthase,-1000,1000
270,r0525,Lysine degradation (saccharopine pathway),aminoadipate-semialdehyde synthase,-1000,1000
271,AASAD3m,Lysine degradation (saccharopine pathway),"aldehyde dehydrogenase 7 family, member A1",0,1000
272,R03103_MitoCore,Lysine degradation (saccharopine pathway),"aldehyde dehydrogenase 7 family, member A1",0,1000
273,r0450,Lysine degradation (saccharopine pathway),aminoadipate aminotransferase,-1000,1000
274,LYSOXc_MitoCore,Lysine degradation (L-pipecolate pathway),Unknown,0,1000
275,PPD2CSPc_MitoCore,Lysine degradation (L-pipecolate pathway),Non-Enzymatic,-1000,1000
276,1PPDCRc_MitoCore,Lysine degradation (L-pipecolate pathway),Unknown,0,1000
277,1PPDCRc_NADPH_MitoCore,Lysine degradation (L-pipecolate pathway),Unknown,0,1000
278,LPCOXc_MitoCore,Lysine degradation (L-pipecolate pathway),pipecolic acid oxidase,0,1000
279,RE1254C,Lysine degradation (L-pipecolate pathway),Unknown,-1000,1000
280,r0594,Lysine degradation (L-pipecolate pathway),"aldehyde dehydrogenase 7 family, member A1",0,1000
281,2AMADPTmB_MitoCore,Lysine degradation (L-pipecolate pathway),2-oxoadipate shuttle (cytosol/mitochondria),0,1000
282,2AMADPTmC_MitoCore,Lysine degradation (L-pipecolate pathway),2-oxoadipate shuttle (cytosol/mitochondria),0,1000
283,PROD2mB_MitoCore,Proline degradation,Proline dehydrogenase 1,0,1000
284,G5SADrm,Proline degradation/synthesis,Non-Enzymatic,-1000,1000
285,r0074,Proline / ornithine degradation,"aldehyde dehydrogenase 4 family, member A1",0,1000
286,GLU5Km,Proline synthesis,"aldehyde dehydrogenase 18 family, member A1",0,1000
287,G5SDym,Proline synthesis,"aldehyde dehydrogenase 18 family, member A1",-1000,1000
288,P5CRm,Proline synthesis,pyrroline-5-carboxylate reductase 1,0,1000
289,P5CRxm,Proline synthesis,pyrroline-5-carboxylate reductase 1,0,1000
290,ORNTArm,Ornithine degradation,ornithine aminotransferase,-1000,1000
291,ORNDC,Ornithine degradation (cytosolic),ornithine decarboxylase 1,0,1000
292,PTRCOX1,Ornithine degradation (cytosolic),"amine oxidase, copper containing 1",0,1000
293,r0464c_MitoCore,Ornithine degradation (cytosolic),aldehyde dehydrogenase family,0,1000
294,ABUTD,Ornithine degradation (cytosolic),aldehyde dehydrogenase family,0,1000
295,ARGDCm,Arginine degradation,antizyme inhibitor 2,0,1000
296,AGMTm,Arginine degradation,agmatine ureohydrolase (agmatinase),-1000,1000
297,PTRCAT1m_MitoCore,Arginine degradation,spermidine/spermine N1-acetyltransferase family member 2,0,1000
298,APRTO2m_MitoCore,Arginine degradation,monoamine oxidase B,0,1000
299,NABTNOm,Arginine degradation,aldehyde dehydrogenase family,0,1000
300,4aabutn_MitoCore,Arginine degradation,Unknown,0,1000
301,GLUDC,GABA shunt,"glutamate decarboxylase 2 (pancreatic islets and brain, 65kDa)",0,1000
302,4ABUTtm,GABA shunt - transport,,-1000,1000
303,ABTArm,GABA shunt,4-aminobutyrate aminotransferase,-1000,1000
304,r0178,GABA shunt,"aldehyde dehydrogenase 5 family, member A1",0,1000
305,GLUDxm,Glutamate degradation/synthesis,glutamate dehydrogenase 1 or 2,0,1000
306,GLUDym,Glutamate degradation/synthesis,glutamate dehydrogenase 1 or 2,0,1000
307,GLUDxi,Glutamate degradation/synthesis - cytosolic,glutamate dehydrogenase 1,0,1000
308,GLUDy,Glutamate degradation/synthesis - cytosolic,glutamate dehydrogenase 1,0,1000
309,GLNS,Glutamine synthesis,Glutamine synthetase,0,1000
310,GLUNm,Glutamine degradation,Glutaminase,0,1000
311,GLUN_MitoCore,Glutamine degradation - cytosolic,Glutaminase or carbamoyl-phosphate synthetase 2,0,1000
312,PGCD,Serine and glycine biosynthesis,phosphoglycerate dehydrogenase,-1000,1000
313,PSERT,Serine and glycine biosynthesis,phosphoserine aminotransferase 1,-1000,1000
314,PSP_L,Serine and glycine biosynthesis,phosphoserine phosphatase,0,1000
315,GHMT2r,Serine and glycine biosynthesis,serine hydroxymethyltransferase 1 (soluble),-1000,1000
316,FOLR2,Folate cytosolic,"ENSMUSG00000006378,Gcat",0,0
317,DHFR,Folate cytosolic,dihydrofolate reductase,0,0
318,MTHFD,Folate cytosolic,"methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 1, methenyltetrahydrofolate cyclohydrolase, formyltetrahydrofolate synthetase",-1000,1000
319,MTHFC,Folate cytosolic,"methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 1, methenyltetrahydrofolate cyclohydrolase, formyltetrahydrofolate synthetase",-1000,1000
320,FTCD,Folate cytosolic,formimidoyltransferase cyclodeaminase,-1000,1000
321,FTHFL,Folate cytosolic,"methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 1, methenyltetrahydrofolate cyclohydrolase, formyltetrahydrofolate synthetase",0,1000
322,FTHFDH,Folate cytosolic,"aldehyde dehydrogenase 1 family, member L1",0,1000
323,r0060,Serine degradation,Serine dehydratases,0,1000
324,GHMT2rm,Serine and glycine biosynthesis,serine hydroxymethyltransferase 2 (mitochondrial),-1000,1000
325,GCCam,Glycine cleavage system (GCS),glycine dehydrogenase (decarboxylating),-1000,1000
326,GCCbim,Glycine cleavage system (GCS),aminomethyltransferase,-1000,1000
327,GCCcm,Glycine cleavage system (GCS),dihydrolipoamide dehydrogenase,-1000,1000
328,r0514,Folate mitochondrial,dihydrofolate reductase,-1000,1000
329,r0226,Folate mitochondrial,dihydrofolate reductase,-1000,1000
330,MTHFDm,Folate mitochondrial,methylenetetrahydrofolate dehydrogenase,-1000,0
331,MTHFD2m,Folate mitochondrial,methylenetetrahydrofolate dehydrogenase,-1000,0
332,MTHFCm,Folate mitochondrial,methylenetetrahydrofolate dehydrogenase,-1000,1000
333,FTHFLm,Folate mitochondrial,methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 1-like,-1000,1000
334,FTHFDHm_MitoCore,Folate mitochondrial,"aldehyde dehydrogenase 1 family, member L2",0,1000
335,GLYATm,Glycine degradation,glycine C-acetyltransferase,-1000,1000
336,AOBUTDsm,Glycine degradation,Non-enzymatic,0,1000
337,AACTOORm_MitoCore,Glycine degradation,monoamine oxidase B,0,1000
338,LGTHLm_MitoCore,Glycine degradation,glyoxalase I,-1000,1000
339,GLYOXm,Glycine degradation,hydroxyacylglutathione hydrolase,0,1000
340,LDH_Dm_MitoCore,Glycine degradation,"Probable D-lactate dehydrogenase, mitochondrial",-1000,1000
341,CBPSam,Citrulline biosynthesis,"carbamoyl-phosphate synthase 1, mitochondrial",0,1000
342,OCBTm,Citrulline biosynthesis,"Ornithine carbamoyltransferase, mitochondrial",0,1000
343,NOS1,NOS Signalling,"nitric oxide synthase 2, inducible",0,1000
344,NOS2,NOS Signalling,"nitric oxide synthase 2, inducible",0,1000
345,r0129,Glutathione degradation,gamma-glutamyltransferase 6,0,1000
346,AMPTASECG,Glutathione degradation,alanyl (membrane) aminopeptidase,0,1000
347,GLUCYS,Glutathione synthesis,"glutamate-cysteine ligase, catalytic subunit",0,1000
348,GTHS,Glutathione synthesis,Glutathione synthetase,0,1000
349,r0399,Phenylalanine degradation,phenylalanine hydroxylase,0,1000
350,DHPR,Phenylalanine degradation,quinoid dihydropteridine reductase,-1000,1000
351,TYRTA,Tyrosine degradation,"glutamic-oxaloacetic transaminase 1, soluble",-1000,1000
352,TYRTB_MitoCore,Tyrosine degradation,interleukin 4 induced 1,0,1000
353,34HPPOR,Tyrosine degradation,4-hydroxyphenylpyruvate dioxygenase,0,1000
354,HGNTOR,Tyrosine degradation,"homogentisate 1,2-dioxygenase",0,1000
355,MACACI,Tyrosine degradation,glutathione S-transferase zeta 1,0,1000
356,FUMAC,Tyrosine degradation,fumarylacetoacetate hydrolase (fumarylacetoacetase),0,1000
357,ASNS1,Asparagine synthesis,asparagine synthetase (glutamine-hydrolyzing),0,1000
358,r0127,Asparagine degradation,asparaginase,0,1000
359,HISD,Histidine degradation,histidine ammonia-lyase,0,1000
